age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
37,Federal-gov,334314,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,1369,12369618,333,0,0,1480,96700900,3008826,0,0,13372560,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
36,Private,31438,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,43,?,<=50K,1296,1131768,324,0,0,1548,988347844,282942,0,0,1351834,81,0,0,387,0,0,0,0,0,1849,Divorced,10.82,15.09
62,Private,91433,10th,6,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,3844,5668846,372,0,0,2480,-229941103,548598,0,0,3657320,36,0,0,240,0,0,0,0,0,1600,Divorced,10.82,15.09
19,Local-gov,167816,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K,361,3188504,171,0,0,665,-1902561216,1510344,0,0,5873560,81,0,0,315,0,0,0,0,0,1225,Divorced,10.82,15.09
52,Private,48947,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K,2704,2545244,520,0,0,2340,-1899158487,489470,0,0,2202615,100,0,0,450,0,0,0,0,0,2025,Divorced,10.82,15.09
38,Private,179262,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K,1444,6811956,380,0,0,1140,2070093572,1792620,0,0,5377860,100,0,0,300,0,0,0,0,0,900,Divorced,10.82,15.09
56,Private,106723,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,3136,5976488,504,0,0,2240,-1495103159,960507,0,0,4268920,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
43,Private,166740,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,48,United-States,<=50K,1849,7169820,430,0,0,2064,2032423824,1667400,0,0,8003520,100,0,0,480,0,0,0,0,0,2304,Divorced,10.82,15.09
30,Private,19847,Some-college,10,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,900,595410,300,0,0,1200,393903409,198470,0,0,793880,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
30,Private,399088,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,<=50K,900,11972640,300,0,0,1350,357441792,3990880,0,0,17958960,100,0,0,450,0,0,0,0,0,2025,Divorced,10.82,15.09
43,Private,178417,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,1849,7671931,559,0,0,1720,1767854817,2319421,0,0,7136680,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
41,Private,200671,Bachelors,13,Divorced,Transport-moving,Own-child,Black,Male,6497,0,40,United-States,<=50K,1681,8227511,533,266377,0,1640,1614144577,2608723,1303759487,0,8026840,169,84461,0,520,42211009,0,259880,0,0,1600,Divorced,10.82,15.09
30,Private,133602,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,900,4008060,390,0,0,1200,669625220,1736826,0,0,5344080,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
44,Private,121012,9th,5,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1936,5324528,220,0,0,1760,1759002256,605060,0,0,4840480,25,0,0,200,0,0,0,0,0,1600,Divorced,10.82,15.09
54,State-gov,187686,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K,2916,10135044,540,0,0,2052,866296228,1876860,0,0,7132068,100,0,0,380,0,0,0,0,0,1444,Divorced,10.82,15.09
35,Federal-gov,20469,Some-college,10,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,1225,716415,350,0,0,1400,418979961,204690,0,0,818760,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
57,Private,212448,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,>50K,3249,12109536,741,0,0,2565,-2110487552,2761824,0,0,9560160,169,0,0,585,0,0,0,0,0,2025,Divorced,10.82,15.09
33,Private,207301,Assoc-acdm,12,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,1089,6840933,396,0,0,1320,24031641,2487612,0,0,8292040,144,0,0,480,0,0,0,0,0,1600,Divorced,10.82,15.09
59,Local-gov,100776,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,3481,5945784,649,0,0,2360,1565867584,1108536,0,0,4031040,121,0,0,440,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Private,153132,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,45,?,<=50K,1764,6431544,546,0,0,1890,1974572944,1990716,0,0,6890940,169,0,0,585,0,0,0,0,0,2025,Divorced,10.82,15.09
35,Private,379959,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,1225,13298565,315,0,0,1400,-1660046383,3419631,0,0,15198360,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
56,Private,174040,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,3136,9746240,504,0,0,2240,225150528,1566360,0,0,6961600,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
29,Private,104256,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,34,United-States,<=50K,841,3023424,261,0,0,986,-2015588352,938304,0,0,3544704,81,0,0,306,0,0,0,0,0,1156,Divorced,10.82,15.09
58,Private,119386,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K,3364,6924388,638,0,0,3480,1368115108,1313246,0,0,7163160,121,0,0,660,0,0,0,0,0,3600,Divorced,10.82,15.09
44,Federal-gov,316120,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,>50K,1936,13909280,660,0,0,1760,1147606592,4741800,0,0,12644800,225,0,0,600,0,0,0,0,0,1600,Divorced,10.82,15.09
51,Self-emp-not-inc,88528,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,99,United-States,<=50K,2601,4514928,612,0,0,5049,-752727808,1062336,0,0,8764272,144,0,0,1188,0,0,0,0,0,9801,Divorced,10.82,15.09
54,?,185936,9th,5,Divorced,?,Not-in-family,White,Female,0,0,15,United-States,<=50K,2916,10040544,270,0,0,810,212457728,929680,0,0,2789040,25,0,0,75,0,0,0,0,0,225,Divorced,10.82,15.09
44,Private,252202,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,1936,11096888,396,0,0,1760,-818660636,2269818,0,0,10088080,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
56,?,154537,Some-college,10,Divorced,?,Unmarried,White,Female,0,0,50,United-States,>50K,3136,8654072,560,0,0,2800,-1888119407,1545370,0,0,7726850,100,0,0,500,0,0,0,0,0,2500,Divorced,10.82,15.09
28,Private,54243,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K,784,1518804,252,0,0,1680,-1352664247,488187,0,0,3254580,81,0,0,540,0,0,0,0,0,3600,Divorced,10.82,15.09
65,Local-gov,125768,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,28,United-States,<=50K,4225,8174920,650,0,0,1820,-1362279360,1257680,0,0,3521504,100,0,0,280,0,0,0,0,0,784,Divorced,10.82,15.09
50,State-gov,242517,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,2500,12125850,650,0,0,2000,-1315046855,3152721,0,0,9700680,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
68,Private,145638,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,4624,9903384,680,0,0,2720,-264409436,1456380,0,0,5825520,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
37,Private,175390,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,1369,6489430,333,0,0,1480,696881028,1578510,0,0,7015600,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
47,Private,243904,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,Honduras,<=50K,2209,11463488,423,0,0,1880,-640380928,2195136,0,0,9756160,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
49,Private,50282,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,3325,0,45,United-States,<=50K,2401,2463818,490,162925,0,2205,-1766687772,502820,167187650,0,2262690,100,33250,0,450,11055625,0,149625,0,0,2025,Divorced,10.82,15.09
41,Private,184102,11th,7,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,1681,7548182,287,0,0,1640,-466191964,1288714,0,0,7364080,49,0,0,280,0,0,0,0,0,1600,Divorced,10.82,15.09
52,Private,84451,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K,2704,4391452,572,0,0,1664,-1457963191,928961,0,0,2702432,121,0,0,352,0,0,0,0,0,1024,Divorced,10.82,15.09
36,Private,89508,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,1296,3222288,360,0,0,1800,-578252528,895080,0,0,4475400,100,0,0,500,0,0,0,0,0,2500,Divorced,10.82,15.09
31,Private,196791,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,>50K,961,6100521,465,0,0,1395,71992017,2951865,0,0,8855595,225,0,0,675,0,0,0,0,0,2025,Divorced,10.82,15.09
43,Local-gov,186995,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Female,0,0,40,United-States,<=50K,1849,8040785,387,0,0,1720,607391657,1682955,0,0,7479800,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
36,Private,218542,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,1296,7867512,360,0,0,1440,515965508,2185420,0,0,8741680,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
30,Private,390879,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,36,United-States,<=50K,900,11726370,330,0,0,1080,-1832430015,4299669,0,0,14071644,121,0,0,396,0,0,0,0,0,1296,Divorced,10.82,15.09
54,Local-gov,166398,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,35,United-States,<=50K,2916,8985492,540,0,0,1890,1918490628,1663980,0,0,5823930,100,0,0,350,0,0,0,0,0,1225,Divorced,10.82,15.09
38,Private,204556,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K,1444,7773128,342,0,0,1520,-1106515824,1841004,0,0,8182240,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
66,Private,178120,5th-6th,3,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,15,United-States,<=50K,4356,11755920,198,0,0,990,1661963328,534360,0,0,2671800,9,0,0,45,0,0,0,0,0,225,Divorced,10.82,15.09
35,Self-emp-not-inc,115618,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,>50K,1225,4046630,315,0,0,1750,482620036,1040562,0,0,5780900,81,0,0,450,0,0,0,0,0,2500,Divorced,10.82,15.09
46,Self-emp-not-inc,95256,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K,2116,4381776,414,0,0,2300,483770944,857304,0,0,4762800,81,0,0,450,0,0,0,0,0,2500,Divorced,10.82,15.09
55,Private,175942,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,40,France,<=50K,3025,9676810,495,0,0,2200,890816292,1583478,0,0,7037680,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
39,Private,216129,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,35,Jamaica,<=50K,1521,8429031,468,0,0,1365,-532895615,2593548,0,0,7564515,144,0,0,420,0,0,0,0,0,1225,Divorced,10.82,15.09
31,Private,367314,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,961,11386734,279,0,0,1240,1775588420,3305826,0,0,14692560,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
49,Local-gov,159726,11th,7,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K,2401,7826574,343,0,0,1960,-257408700,1118082,0,0,6389040,49,0,0,280,0,0,0,0,0,1600,Divorced,10.82,15.09
63,Private,203783,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,72,United-States,<=50K,3969,12838329,567,0,0,4536,-1422161871,1834047,0,0,14672376,81,0,0,648,0,0,0,0,0,5184,Divorced,10.82,15.09
67,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K,4489,7930321,871,0,147802,335,1124897881,1538719,0,261108778,591815,169,0,28678,65,0,0,0,4866436,11030,25,Divorced,10.82,15.09
32,Private,294121,Assoc-acdm,12,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,50,United-States,<=50K,1024,9411872,384,0,0,1600,607816721,3529452,0,0,14706050,144,0,0,600,0,0,0,0,0,2500,Divorced,10.82,15.09
29,Private,452205,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,36,United-States,<=50K,841,13113945,261,0,0,1044,-1669068183,4069845,0,0,16279380,81,0,0,324,0,0,0,0,0,1296,Divorced,10.82,15.09
44,Local-gov,31251,7th-8th,4,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,1936,1375044,176,0,0,1760,976625001,125004,0,0,1250040,16,0,0,160,0,0,0,0,0,1600,Divorced,10.82,15.09
51,Local-gov,186416,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,2601,9507216,663,0,0,2040,391186688,2423408,0,0,7456640,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
39,Private,120074,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,1521,4682886,351,0,0,1560,1532863588,1080666,0,0,4802960,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
35,Self-emp-not-inc,95455,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,55,United-States,<=50K,1225,3340925,455,0,0,1925,521722433,1240915,0,0,5250025,169,0,0,715,0,0,0,0,0,3025,Divorced,10.82,15.09
